,BQ_score,BQ_score_percentile,V_score,V_score_percentile,BQ_RoC_score_percentile,BQ_growth_score_percentile,BQ_profitability_score_percentile,BQ_asset_intensity_score_percentile,BQ_capital_structure_score_percentile,BQ_reinvestment_score_percentile,BQ_shareholder_score_percentile
DHAC,-32.6,0.214,-219.45,0.082,0.231,0.145,0.241,0.355,0.489,0.438,0.638
MACA,11.7,0.306,-299.25,0.01,0.405,0.348,0.241,0.271,0.314,0.438,0.638
SABS,-137.2,0.081,-187.991,0.139,0.113,0.145,0.241,0.271,0.558,0.438,0.071
SJ,174.3,0.74,86.6,0.569,0.652,0.77,0.647,0.964,0.862,0.888,0.071
KACL,-26.6,0.226,-147.723,0.222,0.406,0.145,0.241,0.271,0.357,0.438,0.638
AIB,-37.8,0.206,-291.002,0.013,0.269,0.145,0.241,0.271,0.371,0.438,0.638
PPSI,9.6,0.301,-148.331,0.221,0.159,0.333,0.426,0.22,0.624,0.438,0.281
AWH,-71.3,0.152,-120.635,0.272,0.178,0.29,0.349,0.194,0.761,0.807,0.071
VPLM,-67.0,0.158,-216.125,0.09,0.013,0.758,0.241,0.271,0.584,0.438,0.071
UNCY,-99.0,0.116,-242.725,0.055,0.063,0.145,0.131,0.224,0.885,0.807,0.257
MMNGF,-60.7,0.167,-203.785,0.113,0.392,0.384,0.241,0.159,0.565,0.438,0.071
BEST,-209.3,0.033,-186.416,0.142,0.063,0.043,0.055,0.903,0.126,0.044,0.638
BCOW,-14.1,0.25,-127.581,0.261,0.33,0.107,0.371,0.386,0.126,0.438,0.979
GP,-20.0,0.24,-161.371,0.195,0.039,0.535,0.349,0.136,0.601,0.942,0.158
ELDN,-56.1,0.175,-138.752,0.239,0.063,0.145,0.241,0.271,0.348,0.438,0.959
YOTA,37.8,0.37,-3.325,0.441,0.251,0.543,0.241,0.355,0.436,0.438,0.638
CARA,-310.3,0.006,-165.246,0.186,0.013,0.001,0.015,0.651,0.713,0.807,0.27
ACBA,35.5,0.364,-172.991,0.173,0.622,0.371,0.241,0.271,0.365,0.438,0.638
USIO,-55.4,0.176,58.472,0.527,0.063,0.218,0.136,0.848,0.026,0.438,0.96
CBAF,113.0,0.565,331.218,0.889,0.673,0.489,0.656,0.202,0.026,0.438,0.997
ESLA,50.0,0.4,-139.975,0.234,0.849,0.341,0.241,0.355,0.175,0.438,0.638
USAU,-79.6,0.141,-187.904,0.14,0.207,0.35,0.241,0.271,0.484,0.438,0.071
NSRPF,-145.5,0.074,-154.015,0.21,0.063,0.145,0.241,0.173,0.872,0.438,0.071
MSVB,51.7,0.404,107.776,0.601,0.504,0.208,0.629,0.364,0.026,0.438,0.993
YERBF,-2.1,0.275,-327.393,0.004,0.849,0.359,0.038,0.939,0.175,0.438,0.638
FGF,55.1,0.413,85.301,0.566,0.73,0.774,0.613,0.048,0.735,0.438,0.011
LODE,180.1,0.755,239.589,0.78,0.63,0.983,0.702,0.246,0.976,0.807,0.071
ASRV,32.1,0.355,50.935,0.517,0.494,0.243,0.531,0.38,0.026,0.438,0.915
MRKR,-51.1,0.183,-177.866,0.161,0.392,0.145,0.131,0.219,0.734,0.807,0.278
FRSB,119.7,0.585,252.737,0.798,0.7,0.587,0.781,0.482,0.126,0.438,0.269
NCSM,25.4,0.339,28.773,0.485,0.232,0.327,0.397,0.404,0.749,0.438,0.26
RFL,-92.7,0.123,-162.925,0.191,0.33,0.021,0.349,0.016,0.592,0.807,0.923
QNCX,-96.7,0.118,-147.006,0.224,0.392,0.145,0.241,0.271,0.593,0.438,0.071
NAII,84.9,0.489,24.285,0.478,0.403,0.385,0.3,0.714,0.757,0.438,0.928
RDGL,-221.4,0.028,-287.725,0.015,0.013,0.263,0.015,0.58,0.382,0.807,0.155
XLO,-13.4,0.252,-156.936,0.203,0.392,0.145,0.241,0.271,0.78,0.438,0.354
RPID,-12.6,0.253,-144.117,0.228,0.039,0.722,0.349,0.024,0.445,0.807,0.305
BBBXF,-130.3,0.086,-177.987,0.16,0.013,0.231,0.241,0.563,0.492,0.438,0.071
FLNT,-24.3,0.231,6.911,0.455,0.063,0.209,0.116,0.865,0.72,0.936,0.262
LRDC,31.3,0.353,-301.95,0.009,0.997,0.29,0.241,0.303,0.126,0.438,0.071
TURN,-13.3,0.252,-27.9,0.406,0.221,0.009,0.922,0.181,0.525,0.438,0.96
REE,-76.8,0.145,-162.925,0.191,0.392,0.043,0.241,0.566,0.454,0.438,0.194
AURX,-71.5,0.152,-242.725,0.055,0.063,0.543,0.131,0.54,0.995,0.438,0.071
AGAE,-25.0,0.229,-133.745,0.253,0.116,0.486,0.091,0.236,0.604,0.438,0.966
IZEA,108.3,0.552,-98.066,0.307,0.313,0.555,0.473,0.666,0.765,0.438,0.316
OPHC,164.9,0.714,356.275,0.913,0.68,0.943,0.665,0.535,0.026,0.438,0.224
BCLI,-84.3,0.134,-136.325,0.246,0.063,0.145,0.241,0.271,0.372,0.438,0.301
SDIG,-280.2,0.01,-215.388,0.094,0.013,0.105,0.053,0.326,0.319,0.438,0.071
CFOK,39.8,0.374,252.114,0.797,0.462,0.174,0.655,0.411,0.069,0.438,0.95
CGA,-111.0,0.104,-101.525,0.302,0.306,0.005,0.495,0.846,0.767,0.438,0.071
CBWA,86.9,0.494,250.977,0.795,0.631,0.228,0.759,0.515,0.026,0.438,0.977
RNGE,13.7,0.311,-286.409,0.017,0.392,0.543,0.131,0.833,0.341,0.998,0.071
ASPS,1.0,0.281,-222.15,0.078,0.96,0.225,0.188,0.722,0.126,0.438,0.071
TLF,82.5,0.482,-14.574,0.424,0.427,0.307,0.525,0.111,0.907,0.438,0.973
LTBR,-82.0,0.137,-172.369,0.174,0.115,0.511,0.241,0.271,0.317,0.438,0.071
NOVV,-23.8,0.232,-136.377,0.242,0.404,0.158,0.241,0.271,0.408,0.438,0.638
ICLK,-214.6,0.031,-78.614,0.336,0.063,0.043,0.036,0.188,0.49,0.946,0.247
VYNE,-91.3,0.125,-207.925,0.105,0.207,0.418,0.091,0.57,0.683,0.807,0.071
LUCD,-283.6,0.01,-242.725,0.055,0.127,0.043,0.038,0.168,0.712,0.807,0.071
ICCC,-125.8,0.09,-227.219,0.072,0.185,0.227,0.056,0.078,0.702,0.828,0.389
GWSO,-100.3,0.115,-219.45,0.082,0.063,0.043,0.241,0.299,0.783,0.438,0.638
AGMH,175.6,0.743,256.295,0.802,0.924,0.784,0.29,0.986,0.09,0.044,0.638
MNDO,192.2,0.787,344.12,0.902,0.919,0.371,0.782,0.657,0.859,0.856,0.218
HOUR,-31.8,0.216,79.549,0.558,0.063,0.758,0.11,0.729,0.071,0.438,0.252
TZUP,-276.1,0.011,-242.725,0.055,0.013,0.043,0.015,0.567,0.916,0.807,0.15
SNAL,-43.2,0.196,-270.09,0.029,0.186,0.107,0.116,0.995,0.064,0.906,0.221
GRRLF,168.1,0.723,523.273,0.99,0.837,0.725,0.545,0.075,0.757,0.438,0.941
DTST,-71.0,0.153,-141.533,0.232,0.093,0.277,0.107,0.711,0.751,0.438,0.211
SUND,143.1,0.653,-256.95,0.04,0.976,0.719,0.241,0.271,0.126,0.438,0.638
DGHI,3.5,0.287,262.416,0.81,0.753,0.552,0.16,0.233,0.981,0.438,0.071
JOB,139.9,0.645,457.253,0.973,0.269,0.608,0.371,0.839,0.685,0.438,0.979
AWRE,-77.4,0.144,-61.139,0.361,0.037,0.253,0.091,0.455,0.566,0.807,0.898
BNED,-100.4,0.114,-1.837,0.443,0.013,0.026,0.43,0.92,0.055,0.438,0.28
SYPR,-9.0,0.26,64.907,0.537,0.113,0.474,0.325,0.66,0.071,0.438,0.262
HFBL,103.8,0.539,341.076,0.899,0.718,0.499,0.655,0.364,0.026,0.438,0.922
BHIL,7.2,0.296,-184.65,0.146,0.013,0.309,0.349,0.737,0.261,0.987,0.313
CXXIF,-57.8,0.172,25.283,0.479,0.142,0.206,0.078,0.806,0.901,0.438,0.287
HUDI,176.3,0.745,154.555,0.664,0.608,0.92,0.639,0.439,0.994,0.873,0.15
LUXH,67.3,0.444,-121.761,0.27,0.945,0.543,0.069,0.823,0.226,0.438,0.287
WAVS,35.1,0.363,-216.125,0.09,0.241,0.543,0.241,0.355,0.405,0.438,0.638
VIOT,9.4,0.301,26.6,0.481,0.101,0.065,0.107,0.999,0.812,0.994,0.914
CODX,-283.1,0.01,438.259,0.964,0.03,0.015,0.015,0.041,0.602,0.807,0.93
KPLT,-183.0,0.047,-67.622,0.352,0.063,0.043,0.055,0.934,0.126,0.438,0.282
FTHM,30.6,0.352,-202.66,0.116,0.098,0.418,0.462,0.979,0.627,0.843,0.071
DRRSF,-34.6,0.211,-218.983,0.084,0.423,0.16,0.241,0.159,0.928,0.438,0.227
LNSR,-45.7,0.192,-158.618,0.2,0.137,0.2,0.349,0.089,0.701,0.875,0.239
MFON,-137.4,0.081,-245.883,0.051,0.749,0.431,0.015,0.687,0.126,0.807,0.071
JRSH,78.4,0.472,10.339,0.459,0.339,0.476,0.324,0.866,0.782,0.438,0.22
GLGI,293.6,0.948,519.985,0.989,0.984,0.48,0.91,0.899,0.352,0.438,0.92
NTRB,25.6,0.34,-316.626,0.006,0.392,0.305,0.349,0.143,0.599,0.807,0.638
GRF,99.3,0.526,264.418,0.812,0.828,0.306,0.385,0.718,0.31,0.438,0.638
NCTY,-294.4,0.008,-97.005,0.309,0.063,0.068,0.015,0.215,0.601,0.837,0.071
HRGN,-90.0,0.127,-156.125,0.205,0.749,0.145,0.241,0.271,0.226,0.438,0.071
CLIR,-156.8,0.065,-232.716,0.066,0.392,0.233,0.038,0.593,0.662,0.807,0.071
VNCE,-126.3,0.09,296.0,0.85,0.063,0.213,0.138,0.587,0.026,0.438,0.22
CUBA,87.8,0.497,324.245,0.883,0.979,0.318,0.385,0.739,0.318,0.438,0.139
COE,4.5,0.289,-50.609,0.377,0.945,0.277,0.113,0.13,0.126,0.841,0.27
DSWL,5.8,0.292,366.856,0.922,0.365,0.314,0.4,0.409,0.814,0.438,0.165
CVU,16.7,0.317,276.627,0.827,0.063,0.043,0.85,0.993,0.226,0.438,0.264
ALMU,-29.4,0.22,-241.224,0.057,0.392,0.534,0.131,0.546,0.701,0.807,0.071
ZDGE,22.2,0.33,370.724,0.925,0.43,0.652,0.075,0.483,0.479,0.438,0.908
CVV,62.9,0.432,-0.287,0.445,0.133,0.559,0.176,0.5,0.815,0.975,0.319
DRIO,-22.3,0.235,-110.921,0.288,0.392,0.565,0.349,0.11,0.589,0.807,0.071
CYTH,-292.8,0.009,-281.357,0.021,0.013,0.16,0.015,0.555,0.185,0.807,0.071
MSAI,-197.2,0.039,-221.346,0.079,0.849,0.043,0.038,0.03,0.175,0.438,0.287
SODI,-96.5,0.119,-82.221,0.331,0.192,0.202,0.087,0.114,0.623,0.438,0.638
RAND,134.2,0.628,242.804,0.785,0.826,0.469,0.385,0.725,0.477,0.438,0.638
ATGL,-114.7,0.1,-2.584,0.442,0.063,0.277,0.015,0.978,0.195,0.438,0.638
STBI,55.9,0.415,305.88,0.862,0.592,0.422,0.577,0.334,0.026,0.438,0.333
PXDT,-86.8,0.131,188.886,0.711,0.063,0.61,0.015,0.671,0.447,0.807,0.638
LSEB,-40.0,0.202,-242.725,0.055,0.152,0.543,0.241,0.355,0.849,0.438,0.135
AAGH,195.5,0.794,-283.55,0.019,0.852,0.946,0.349,0.669,0.126,0.438,0.385
CTRM,59.1,0.423,470.953,0.978,0.689,0.589,0.178,0.335,0.83,0.438,0.217
JFU,-218.3,0.03,-70.468,0.348,0.157,0.073,0.015,0.18,0.745,0.438,0.248
IPA,-179.8,0.049,-174.963,0.167,0.013,0.47,0.015,0.167,0.544,0.807,0.232
EVTV,-143.3,0.075,-170.116,0.178,0.063,0.277,0.091,0.001,0.534,0.884,0.305
EDVR,86.5,0.493,256.168,0.802,0.551,0.496,0.581,0.507,0.069,0.438,0.638
IINN,-89.5,0.128,-200.792,0.118,0.392,0.145,0.241,0.271,0.822,0.438,0.071
ACHL,-51.7,0.182,-136.325,0.246,0.164,0.145,0.241,0.271,0.62,0.438,0.299
USGDF,-35.8,0.209,-245.916,0.051,0.168,0.543,0.241,0.638,0.41,0.438,0.071
TARA,-108.5,0.106,-150.034,0.219,0.134,0.043,0.241,0.271,0.397,0.438,0.298
UG,256.6,0.91,228.854,0.766,0.96,0.369,0.815,0.694,0.666,0.915,0.937
MDAI,115.2,0.571,-179.433,0.157,0.164,0.332,0.635,0.927,0.867,0.438,0.638
SQNS,38.4,0.371,-146.403,0.225,0.945,0.259,0.496,0.508,0.226,0.807,0.007
NXPL,65.5,0.439,-138.719,0.239,0.392,0.783,0.349,0.832,0.66,0.438,0.071
CWBHF,-152.5,0.068,-85.174,0.326,0.392,0.043,0.091,0.23,0.661,0.438,0.179
USEG,53.8,0.409,-30.354,0.403,0.583,0.758,0.637,0.375,0.786,0.438,0.002
FKWL,120.1,0.586,-145.465,0.226,0.269,0.454,0.679,0.324,0.631,0.987,0.299
CASI,36.4,0.366,-27.519,0.406,0.063,0.323,0.349,0.62,0.605,0.807,0.958
WNLV,-5.7,0.266,-283.55,0.019,0.749,0.543,0.131,0.849,0.226,0.438,0.071
FTEK,119.3,0.584,-131.689,0.256,0.259,0.672,0.33,0.672,0.402,0.949,0.347
FBIO,-227.0,0.026,-107.664,0.292,0.063,0.211,0.052,0.913,0.073,0.807,0.004
CREX,78.1,0.471,132.01,0.634,0.139,0.917,0.192,0.912,0.498,0.889,0.071
ECOR,-131.6,0.085,-211.221,0.099,0.013,0.23,0.349,0.312,0.699,0.807,0.007
AATC,-66.6,0.159,195.531,0.72,0.348,0.212,0.37,0.072,0.4,0.852,0.155
ESBS,73.9,0.461,221.628,0.755,0.599,0.423,0.739,0.311,0.126,0.438,0.291
SRZN,-23.5,0.232,-127.524,0.261,0.392,0.145,0.131,0.462,0.77,0.807,0.638
EGF,79.5,0.475,180.719,0.7,0.663,0.075,0.765,0.408,0.879,0.438,0.932
PALT,105.2,0.543,-197.163,0.125,0.464,0.506,0.501,0.423,0.46,0.807,0.869
INKT,98.7,0.525,-173.825,0.171,0.997,0.277,0.241,0.271,0.226,0.438,0.236
DDC,22.4,0.33,-94.025,0.313,0.198,0.424,0.349,0.916,0.126,0.044,0.638
NYMXF,24.0,0.334,-94.025,0.313,0.945,0.291,0.241,0.271,0.226,0.438,0.171
NOWG,-69.3,0.155,-283.55,0.019,0.945,0.113,0.015,0.666,0.226,0.438,0.34
UURAF,-43.8,0.195,-237.375,0.061,0.32,0.4,0.241,0.563,0.602,0.438,0.007
MESA,-223.4,0.027,-184.65,0.146,0.101,0.018,0.19,0.449,0.087,0.438,0.071
GLXZ,60.2,0.425,93.462,0.58,0.753,0.56,0.294,0.475,0.226,0.854,0.201
NSGP,-85.0,0.133,-256.95,0.04,0.279,0.436,0.241,0.271,0.15,0.438,0.071
SDPI,344.8,0.979,246.946,0.79,0.978,0.95,0.931,0.779,0.886,0.438,0.199
PGID,-316.3,0.005,-262.788,0.034,0.032,0.012,0.015,0.06,0.382,0.438,0.331
CCTG,230.6,0.87,222.323,0.757,0.685,0.315,0.706,0.998,0.948,0.922,0.638
NUTX,-242.8,0.02,80.157,0.559,0.063,0.043,0.076,0.341,0.088,0.438,0.181
CRVW,-9.0,0.261,-107.921,0.292,0.417,0.166,0.19,0.873,0.126,0.834,0.248
FUST,-65.6,0.16,-328.55,0.003,0.945,0.009,0.241,0.391,0.126,0.438,0.229
CEI,-297.1,0.008,-211.313,0.099,0.063,0.043,0.015,0.375,0.055,0.438,0.211
NCNC,100.0,0.529,-173.825,0.171,0.945,0.543,0.241,0.271,0.126,0.438,0.638
POCI,292.1,0.947,-279.097,0.023,0.497,0.998,0.74,0.882,0.912,0.928,0.151
YHGJ,-149.8,0.07,-218.05,0.085,0.392,0.043,0.323,0.332,0.172,0.438,0.071
PBBK,107.6,0.55,240.43,0.782,0.53,0.672,0.633,0.692,0.126,0.438,0.229
QSAM,10.0,0.302,-156.125,0.205,0.997,0.145,0.241,0.271,0.226,0.438,0.071
ADXRF,21.6,0.329,-181.738,0.152,0.392,0.825,0.488,0.325,0.126,0.438,0.071
PYN,101.2,0.532,219.89,0.753,0.778,0.108,0.784,0.461,0.902,0.438,0.409
ENDI,104.7,0.542,211.734,0.742,0.739,0.758,0.179,0.961,0.606,0.044,0.188
MRDB,182.7,0.762,-238.575,0.06,0.992,0.247,0.349,0.981,0.226,0.807,0.246
MNSEF,-235.0,0.023,-264.45,0.033,0.013,0.043,0.241,0.491,0.026,0.438,0.071
AGBA,-276.0,0.011,-158.046,0.201,0.063,0.043,0.015,0.391,0.244,0.438,0.208
DAIO,-7.2,0.264,90.15,0.574,0.259,0.229,0.374,0.216,0.733,0.807,0.234
CMUV,15.5,0.315,316.849,0.874,0.475,0.301,0.454,0.236,0.026,0.438,0.892
OWLT,31.5,0.354,-154.791,0.208,0.882,0.249,0.349,0.479,0.226,0.84,0.158
INVU,-20.3,0.239,358.764,0.915,0.063,0.277,0.126,1.0,0.086,0.438,0.243
RVP,-92.3,0.124,267.252,0.816,0.181,0.2,0.099,0.337,0.829,0.044,0.895
IGXT,143.6,0.655,-328.55,0.003,0.882,0.653,0.349,0.54,0.226,0.807,0.416
TISI,-140.3,0.078,-203.453,0.114,0.013,0.063,0.157,0.867,0.126,0.438,0.253
MFV,33.5,0.359,17.135,0.468,0.753,0.108,0.385,0.514,0.349,0.438,0.886
ALCE,-45.0,0.193,-203.768,0.113,0.849,0.277,0.038,0.638,0.175,0.807,0.638
BHLL,18.5,0.321,-256.95,0.04,0.986,0.253,0.241,0.271,0.226,0.438,0.071
ACST,-70.2,0.154,-148.247,0.222,0.013,0.277,0.241,0.271,0.441,0.438,0.306
RFIL,-22.6,0.235,226.4,0.762,0.142,0.267,0.153,0.415,0.458,0.918,0.26
DTCK,152.6,0.68,204.844,0.733,0.749,0.627,0.584,0.898,0.163,0.438,0.271
GFAI,-178.3,0.051,-113.852,0.283,0.392,0.51,0.031,0.69,0.196,0.044,0.071
BMNR,37.4,0.368,-314.355,0.006,0.152,0.277,0.438,0.638,0.567,0.438,0.638
OMIC,-76.1,0.146,-140.925,0.233,0.013,0.277,0.438,0.059,0.616,0.807,0.224
EMPYF,25.0,0.337,,,0.287,0.341,0.241,0.709,0.269,0.438,0.638
SNT,130.7,0.616,122.885,0.622,0.475,0.43,0.466,0.459,0.994,0.965,0.282
HCBC,116.7,0.576,294.766,0.848,0.745,0.481,0.646,0.435,0.026,0.438,0.95
AMYZF,-34.2,0.211,-176.929,0.164,0.207,0.385,0.241,0.271,0.513,0.438,0.178
RAVE,118.1,0.58,154.435,0.664,0.793,0.448,0.19,0.721,0.907,0.438,0.638
SVT,-94.0,0.121,-237.239,0.061,0.033,0.187,0.125,0.473,0.644,0.438,0.269
KFFB,-58.7,0.171,-216.385,0.087,0.439,0.223,0.332,0.298,0.026,0.438,0.191
APRE,-143.7,0.075,-176.476,0.165,0.063,0.145,0.241,0.271,0.687,0.438,0.071
PTN,-170.1,0.056,-163.802,0.189,0.013,0.23,0.349,0.127,0.169,0.807,0.071
CIF,73.5,0.459,300.389,0.855,0.777,0.077,0.498,0.538,0.757,0.438,0.939
JETMF,152.2,0.679,-177.15,0.163,0.945,0.758,0.424,0.982,0.126,0.438,0.071
LPCN,8.1,0.298,-96.569,0.309,0.013,0.075,0.982,0.573,0.592,0.438,0.239
FATH,-294.1,0.008,-66.794,0.353,0.063,0.208,0.047,0.081,0.083,0.438,0.071
LAES,-63.1,0.164,-281.356,0.021,0.013,0.965,0.058,0.85,0.026,0.912,0.071
HUIZ,141.1,0.648,284.38,0.836,0.549,0.103,0.58,0.998,0.081,0.971,0.95
NTWK,-162.2,0.061,-139.532,0.237,0.096,0.016,0.07,0.573,0.708,0.874,0.303
NMTC,-67.1,0.158,-212.553,0.097,0.013,0.505,0.349,0.486,0.578,0.807,0.071
LGL,-33.4,0.213,-19.178,0.418,0.124,0.227,0.119,0.861,0.583,0.438,0.3
EVA,-74.4,0.148,-110.471,0.288,0.392,0.469,0.311,0.467,0.126,0.438,0.003
SPRB,-178.7,0.05,-136.325,0.246,0.013,0.217,0.131,0.219,0.565,0.807,0.071
KIRK,-190.8,0.042,-139.65,0.236,0.063,0.078,0.063,0.7,0.058,0.438,0.292
ICD,8.0,0.298,148.533,0.656,0.251,0.354,0.471,0.478,0.469,0.438,0.169
PLUR,-104.5,0.11,-317.424,0.006,0.013,0.249,0.438,0.557,0.275,0.807,0.071
ALRN,-25.7,0.228,-186.677,0.141,0.308,0.145,0.241,0.271,0.649,0.438,0.351
MXC,448.8,0.998,245.677,0.789,0.983,0.991,0.999,0.432,0.58,0.438,0.912
PRKA,-39.1,0.203,-273.085,0.027,0.238,0.228,0.102,0.484,0.893,0.438,0.336
INLX,3.3,0.287,28.715,0.484,0.138,0.794,0.172,0.882,0.361,0.438,0.071
MRM,94.4,0.513,-58.808,0.364,0.392,0.384,0.607,0.782,0.226,0.438,0.638
NNUP,246.0,0.895,-164.4,0.188,0.906,0.758,0.991,0.602,0.601,0.874,0.071
AACG,-91.2,0.125,-46.324,0.382,0.063,0.174,0.144,0.389,0.24,0.882,0.303
TMRC,-143.1,0.076,-216.125,0.09,0.013,0.065,0.241,0.271,0.327,0.438,0.274
BEBE,-33.7,0.212,55.108,0.522,0.413,0.49,0.112,0.095,0.878,0.438,0.208
VWFB,14.8,0.313,-146.669,0.224,0.301,0.758,0.11,0.453,0.165,0.438,0.638
ARBB,-26.8,0.225,290.457,0.843,0.197,0.204,0.164,0.47,0.719,0.438,0.307
IGC,-171.1,0.055,-262.532,0.034,0.038,0.022,0.349,0.056,0.402,0.807,0.198
APWC,3.1,0.286,285.417,0.837,0.553,0.257,0.661,0.529,0.303,0.438,0.071
CBGZF,-127.7,0.089,33.617,0.491,0.063,0.145,0.241,0.563,0.566,0.438,0.071
JAGX,-117.9,0.097,-270.023,0.029,0.063,0.277,0.349,0.594,0.026,0.807,0.071
GTIM,350.7,0.981,471.509,0.978,0.992,0.909,0.792,0.902,0.308,0.438,0.638
TWOU,-135.2,0.082,-157.899,0.202,0.013,0.066,0.395,0.679,0.074,0.843,0.181
RSRV,225.1,0.86,162.824,0.676,0.772,0.641,0.979,0.433,0.423,0.438,0.892
BTCM,-182.1,0.048,-74.252,0.343,0.063,0.043,0.073,1.0,0.719,0.044,0.071
FEMY,-198.5,0.039,-213.915,0.096,0.063,0.173,0.015,0.236,0.372,0.807,0.319
OESX,-219.8,0.029,-221.546,0.079,0.109,0.012,0.045,0.739,0.736,0.851,0.2
OTTW,-5.7,0.266,182.984,0.703,0.465,0.195,0.489,0.292,0.026,0.438,0.38
PPHP,-20.8,0.238,-299.25,0.01,0.232,0.145,0.241,0.355,0.831,0.438,0.638
ADXS,-199.3,0.038,-162.925,0.191,0.152,0.175,0.038,0.638,0.583,0.807,0.135
EBIXQ,156.4,0.691,560.669,0.996,0.507,0.332,0.678,0.748,0.533,0.904,0.927
KWIK,76.3,0.466,-283.55,0.019,0.945,0.277,0.438,0.897,0.226,0.807,0.071
CTNT,51.5,0.404,157.7,0.669,0.174,0.277,0.443,0.837,0.365,0.438,0.638
HTOO,-150.1,0.07,-175.18,0.167,0.063,0.145,0.241,0.012,0.922,0.438,0.179
AIM,-163.6,0.06,-195.93,0.127,0.125,0.187,0.091,0.002,0.418,0.807,0.363
BIVI,-58.1,0.172,-194.466,0.129,0.207,0.543,0.241,0.271,0.339,0.438,0.071
PZG,-77.2,0.144,-237.721,0.06,0.244,0.223,0.241,0.563,0.491,0.438,0.071
NHHHF,-98.5,0.116,-170.848,0.177,0.106,0.484,0.241,0.271,0.226,0.438,0.071
PHNMF,-28.0,0.223,-176.296,0.165,0.534,0.529,0.241,0.159,0.56,0.438,0.071
ACXP,-28.1,0.223,-144.786,0.227,0.207,0.83,0.241,0.271,0.226,0.438,0.071
DSHK,12.9,0.309,-109.376,0.29,0.945,0.235,0.139,0.457,0.226,0.438,0.198
SUGP,198.3,0.802,269.336,0.818,0.791,0.818,0.701,0.499,0.707,0.438,0.287
ONCT,-157.8,0.064,-160.95,0.196,0.013,0.043,0.241,0.271,0.42,0.438,0.226
BANL,222.0,0.854,227.487,0.764,0.687,0.842,0.539,0.942,0.477,0.438,0.638
LICN,169.2,0.726,313.14,0.87,0.684,0.427,0.865,0.791,0.674,0.438,0.287
AAGR,15.0,0.314,-283.55,0.019,0.849,0.145,0.131,0.638,0.175,0.865,0.638
INSG,72.6,0.457,-222.15,0.078,0.945,0.251,0.332,0.84,0.126,0.977,0.136
STKH,-160.8,0.062,-216.125,0.09,0.063,0.145,0.241,0.271,0.486,0.438,0.007
CNAF,-47.8,0.189,231.782,0.769,0.53,0.064,0.595,0.323,0.026,0.438,0.248
HYW,249.4,0.9,528.857,0.991,0.752,0.934,0.32,0.991,0.505,0.438,0.638
WWR,-40.8,0.2,-136.325,0.246,0.301,0.64,0.241,0.159,0.396,0.438,0.071
GREE,-294.6,0.008,-139.65,0.236,0.063,0.093,0.015,0.511,0.205,0.438,0.071
CHKR,304.9,0.957,269.896,0.818,0.945,0.484,0.999,0.835,0.308,0.438,0.638
CCM,-42.7,0.197,-94.025,0.313,0.872,0.608,0.015,0.213,0.126,0.438,0.638
LEXX,-334.6,0.003,-280.544,0.022,0.013,0.02,0.015,0.551,0.31,0.807,0.071
CKX,-83.2,0.136,-202.898,0.115,0.122,0.627,0.063,0.151,0.504,0.438,0.254
QLI,-115.3,0.099,-133.966,0.252,0.111,0.084,0.072,0.915,0.754,0.438,0.208
ADXN,-340.4,0.003,-225.028,0.074,0.063,0.043,0.015,0.072,0.692,0.807,0.007
PSHG,221.6,0.853,389.838,0.938,0.907,0.758,0.988,0.582,0.614,0.438,0.011
DFLI,-159.0,0.064,-169.268,0.179,0.063,0.213,0.046,0.59,0.026,0.879,0.638
MMV,-26.6,0.226,-56.525,0.369,0.343,0.145,0.241,0.172,0.687,0.438,0.638
GUER,-171.5,0.055,-184.938,0.145,0.063,0.213,0.015,0.991,0.545,0.807,0.071
QNTO,131.8,0.62,271.242,0.82,0.774,0.909,0.513,0.654,0.026,0.438,0.175
NKGN,-115.0,0.1,-256.95,0.04,0.849,0.043,0.038,0.638,0.175,0.807,0.638
RVLGF,-124.5,0.092,-187.26,0.14,0.013,0.299,0.241,0.563,0.36,0.438,0.071
MDWK,-35.0,0.21,-253.625,0.044,0.945,0.145,0.241,0.355,0.226,0.438,0.071
TRT,117.4,0.578,199.569,0.725,0.47,0.561,0.523,0.743,0.996,0.044,0.315
ABTS,-219.6,0.029,-197.593,0.124,0.063,0.277,0.015,0.605,0.566,0.438,0.071
GTEC,14.3,0.312,328.221,0.887,0.326,0.36,0.477,0.37,0.568,0.962,0.071
CRSXF,337.6,0.975,625.64,0.999,0.92,0.974,0.887,0.777,0.456,0.438,0.327
BIAF,-45.0,0.193,-161.344,0.195,0.945,0.145,0.131,0.558,0.226,0.807,0.071
HRYU,-19.4,0.241,-207.044,0.107,0.063,0.277,0.438,0.539,0.026,0.846,0.638
STBX,64.3,0.435,149.962,0.658,0.704,0.895,0.179,0.391,0.758,0.438,0.071
CLPS,80.8,0.478,249.801,0.793,0.295,0.804,0.378,0.794,0.81,0.948,0.005
CIBH,-58.6,0.171,69.995,0.545,0.364,0.195,0.185,0.51,0.026,0.438,0.242
NKOSF,15.9,0.316,-156.075,0.205,0.297,0.529,0.241,0.159,0.333,0.438,0.326
BRN,-37.8,0.205,-169.437,0.179,0.568,0.252,0.075,0.729,0.844,0.438,0.197
SNSE,-67.5,0.157,-136.325,0.246,0.1,0.145,0.241,0.271,0.41,0.438,0.638
FBRX,-194.4,0.041,-156.153,0.205,0.013,0.087,0.241,0.271,0.371,0.438,0.071
