,BQ_score,BQ_score_percentile,V_score,V_score_percentile,BQ_RoC_score_percentile,BQ_growth_score_percentile,BQ_profitability_score_percentile,BQ_asset_intensity_score_percentile,BQ_capital_structure_score_percentile,BQ_reinvestment_score_percentile,BQ_shareholder_score_percentile
ACET,-1.0,0.277,-149.469,0.22,0.333,0.486,0.349,0.307,0.646,0.807,0.146
APCA,10.7,0.304,-166.017,0.185,0.26,0.353,0.241,0.355,0.425,0.438,0.638
CFNB,90.1,0.503,295.417,0.849,0.792,0.363,0.422,0.373,0.524,0.438,0.327
ONL,111.8,0.562,28.891,0.485,0.314,0.561,0.447,0.716,0.876,0.438,0.306
KOPN,-163.5,0.06,-180.869,0.154,0.063,0.184,0.015,0.744,0.697,0.849,0.214
FPL,94.5,0.514,174.946,0.692,0.599,0.224,0.592,0.477,0.58,0.438,0.928
PPYA,-24.0,0.231,-57.324,0.366,0.271,0.145,0.241,0.355,0.566,0.438,0.638
TLYS,5.7,0.292,-102.491,0.299,0.184,0.187,0.149,0.917,0.38,0.438,0.921
OBIO,153.7,0.683,-157.481,0.203,0.826,0.303,0.981,0.724,0.175,0.044,0.638
GEOS,182.8,0.762,277.986,0.828,0.674,0.746,0.818,0.292,0.4,0.921,0.269
VBF,60.1,0.425,27.556,0.483,0.181,0.302,0.822,0.378,0.32,0.438,0.638
HCVI,28.6,0.347,-82.868,0.33,0.346,0.401,0.241,0.355,0.452,0.438,0.638
HLAN,33.9,0.36,219.691,0.753,0.569,0.33,0.541,0.15,0.026,0.438,0.906
ATLO,-65.7,0.16,212.963,0.743,0.542,0.108,0.298,0.46,0.026,0.438,0.224
THCH,-184.0,0.047,-139.65,0.236,0.063,0.277,0.08,0.792,0.026,0.438,0.071
REKR,-175.5,0.052,-267.721,0.03,0.063,0.277,0.091,0.145,0.67,0.807,0.071
AMPX,-23.7,0.232,-212.745,0.097,0.392,0.758,0.015,0.486,0.704,0.807,0.322
PCQ,150.2,0.674,324.557,0.883,0.772,0.254,0.825,0.59,0.912,0.438,0.387
HNRG,140.9,0.647,514.634,0.988,0.741,0.748,0.832,0.618,0.316,0.438,0.154
INGN,-212.7,0.032,-138.29,0.24,0.013,0.011,0.04,0.62,0.752,0.964,0.638
EVE,-15.2,0.249,-136.215,0.25,0.269,0.355,0.241,0.355,0.428,0.438,0.216
INSI,19.8,0.324,127.384,0.628,0.191,0.344,0.385,0.336,0.451,0.438,0.638
WLDBF,-157.7,0.064,49.661,0.515,0.032,0.402,0.37,0.074,0.126,0.438,0.007
NKSH,132.7,0.622,194.3,0.719,0.791,0.252,0.902,0.439,0.026,0.438,0.994
ENX,-15.6,0.248,55.384,0.523,0.663,0.017,0.528,0.203,0.673,0.438,0.638
INFU,89.5,0.501,-31.442,0.402,0.272,0.412,0.466,0.703,0.779,0.438,0.335
AGEN,88.2,0.498,-182.462,0.15,0.945,0.852,0.349,0.378,0.126,0.438,0.071
STKS,234.1,0.876,202.126,0.729,0.818,0.963,0.302,0.868,0.197,0.438,0.945
NIU,24.9,0.336,-6.025,0.436,0.128,0.189,0.145,0.964,0.539,0.949,0.337
ASPI,-50.3,0.184,-216.125,0.09,0.152,0.543,0.241,0.355,0.636,0.438,0.071
SKGR,-25.7,0.228,-95.23,0.311,0.308,0.145,0.241,0.355,0.449,0.438,0.638
CSPI,273.6,0.93,-8.385,0.433,0.782,0.864,0.803,0.773,0.942,0.932,0.266
SPKL,80.0,0.476,-256.95,0.04,0.849,0.543,0.241,0.355,0.175,0.438,0.638
VERY,-146.8,0.072,-124.556,0.265,0.199,0.095,0.188,0.017,0.058,0.438,0.638
MITT,-104.1,0.111,439.987,0.965,0.823,0.301,0.385,0.023,0.026,0.438,0.005
GLDG,-67.8,0.157,-178.741,0.159,0.037,0.576,0.241,0.563,0.585,0.438,0.007
GAQ,-18.7,0.242,-100.716,0.303,0.377,0.145,0.241,0.355,0.436,0.438,0.638
PLNH,-130.8,0.086,-183.686,0.148,0.013,0.177,0.091,0.544,0.562,0.438,0.269
NOTE,-194.6,0.041,-218.4,0.085,0.063,0.358,0.015,0.233,0.026,0.845,0.269
COFS,40.8,0.377,185.923,0.707,0.642,0.171,0.715,0.41,0.026,0.438,0.907
BRKH,9.7,0.301,-174.022,0.169,0.258,0.349,0.241,0.355,0.427,0.438,0.638
HYB,137.9,0.639,337.237,0.895,0.842,0.38,0.446,0.612,0.76,0.438,0.638
DHF,-30.4,0.218,241.855,0.784,0.136,0.008,0.922,0.374,0.765,0.438,0.638
AMWL,-250.9,0.018,-118.612,0.276,0.013,0.023,0.078,0.116,0.444,0.807,0.195
MPV,259.2,0.913,260.531,0.807,0.803,0.876,0.922,0.714,0.432,0.438,0.638
QIPT,111.7,0.562,17.036,0.468,0.143,0.978,0.418,0.825,0.509,0.438,0.071
BCBP,22.9,0.332,400.429,0.945,0.566,0.501,0.289,0.213,0.026,0.438,0.905
SCWO,18.5,0.321,-241.376,0.057,0.305,0.277,0.349,0.487,0.366,0.807,0.278
DLHC,109.1,0.554,208.757,0.738,0.346,0.857,0.374,0.958,0.292,0.438,0.156
JRNGF,53.4,0.409,403.707,0.947,0.718,0.596,0.124,0.831,0.758,0.438,0.169
LCW,28.3,0.346,-46.11,0.383,0.345,0.398,0.241,0.355,0.46,0.438,0.638
STHO,-66.3,0.159,-180.701,0.154,0.152,0.191,0.091,0.638,0.597,0.438,0.638
HGLB,169.7,0.727,308.097,0.865,0.612,0.495,0.869,0.736,0.819,0.438,0.265
AXTI,68.5,0.447,-123.71,0.266,0.287,0.527,0.241,0.855,0.269,0.438,0.638
TUSK,-44.8,0.193,147.767,0.655,0.268,0.098,0.451,0.037,0.984,0.438,0.267
HFFG,85.9,0.492,326.278,0.885,0.2,0.576,0.368,0.797,0.452,0.438,0.87
MRAM,297.4,0.951,169.193,0.684,0.906,0.932,0.825,0.755,0.869,0.844,0.21
PESI,-5.4,0.267,-210.963,0.099,0.13,0.265,0.332,0.739,0.851,0.044,0.3
FT,73.6,0.459,57.719,0.526,0.306,0.186,0.922,0.245,0.608,0.438,0.638
YS,-66.5,0.159,-230.31,0.069,0.063,0.362,0.194,0.361,0.026,0.807,0.293
ESSA,94.0,0.512,331.093,0.889,0.604,0.524,0.528,0.557,0.026,0.438,0.903
GLYC,-265.2,0.014,-192.834,0.131,0.063,0.043,0.015,0.302,0.436,0.807,0.198
ATOM,-74.9,0.147,-284.946,0.017,0.013,0.365,0.349,0.554,0.578,0.807,0.141
MVST,14.3,0.312,-160.584,0.196,0.408,0.483,0.349,0.025,0.991,0.833,0.22
FNGR,115.8,0.573,-241.298,0.057,0.207,0.9,0.184,0.987,0.982,0.848,0.071
VSTE,119.2,0.583,-283.55,0.019,0.997,0.929,0.015,0.548,0.126,0.438,0.638
DLNG-PA,72.9,0.458,,,0.287,0.293,0.776,0.345,0.269,0.438,0.93
CBH,-47.7,0.189,44.611,0.507,0.272,0.064,0.171,0.503,0.84,0.438,0.404
AEYE,1.0,0.281,-248.161,0.049,0.163,0.235,0.349,0.784,0.249,0.831,0.264
RPMT,-59.1,0.17,-283.55,0.019,0.934,0.197,0.038,0.294,0.226,0.807,0.317
SNFCA,23.9,0.334,357.72,0.914,0.368,0.12,0.414,0.705,0.166,0.438,0.955
IDE,13.2,0.31,175.197,0.692,0.128,0.058,0.922,0.417,0.345,0.438,0.935
HYZN,-188.5,0.044,-186.673,0.141,0.248,0.043,0.038,0.031,0.87,0.807,0.951
CMT,239.3,0.885,138.362,0.642,0.828,0.779,0.772,0.906,0.958,0.438,0.222
ALCY,-25.0,0.229,-40.387,0.39,0.245,0.341,0.241,0.355,0.069,0.438,0.638
